,last_scraped,name,host_name,host_since,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_identity_verified,neighbourhood,property_type,room_type,amenities,has_availability,first_review,last_review,license,instant_bookable,id,scrape_id,host_id,host_listings_count,host_total_listings_count,latitude,longitude,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,availability_30,availability_90,availability_365,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms
1861,2024-09-06,Central canal view design apartment near Jordaan,Le,2021-12-06,within a few hours,100%,83%,f,t,"Amsterdam, Noord-Holland, Netherlands",Private room in condo,Private room,"[""Dishes and silverware"", ""Smoke alarm"", ""Host greets you"", ""Carbon monoxide alarm"", ""Shared patio or balcony"", ""Washer"", ""TV"", ""Coffee maker"", ""Refrigerator"", ""Canal view"", ""Wifi"", ""Fire extinguisher"", ""Lock on bedroom door"", ""Kitchen"", ""Dryer""]",t,2022-04-26,2024-04-23,0363 73D8 20C8 8C69 ECAB,f,53701991,20240905174946,75942371.7,1.0,2.0,52.38376,4.87864,1.0,1.0,1.0,1.0,289.6,3.0,28.0,2.0,28.0,65.0,2.0,2,2,15.0,4.93,4.93,5.0,5.0,5.0,4.93,4.73,1.0,1.0,0.0,0.0
1870,2024-09-05,New! Modern & cozy studio at Eastern Docklands,Truus,2014-03-09,undefined time,0%,0%,f,f,"Amsterdam, North Holland, Netherlands",Private room in bed and breakfast,Private room,"[""Smoke alarm"", ""Hangers"", ""Essentials"", ""Iron"", ""Heating"", ""First aid kit"", ""Dedicated workspace"", ""Hair dryer"", ""Carbon monoxide alarm"", ""Shampoo"", ""Wifi"", ""Fire extinguisher"", ""TV with standard cable"", ""Bed linens""]",f,2014-04-21,2022-09-25,0363 31DD 04F2 70D9 3375,f,2529643,20240905174946,12953966.0,1.0,2.0,52.37515,4.94627,2.0,1.0,1.0,1.0,289.6,1.0,135.4,2.0,1125.0,65.0,0.0,0,0,40.0,4.8,4.97,4.9,4.77,4.82,4.67,4.67,1.0,1.0,0.0,0.0
1875,2024-09-05,100% Legal studio w. kitchen/shower/WC,Maartje,2013-08-27,undefined time,0%,0%,f,t,"Amsterdam, North Holland, Netherlands",Private room in guest suite,Private room,"[""Dishes and silverware"", ""Coffee maker"", ""Paid parking off premises"", ""Cooking basics"", ""TV with standard cable"", ""Hot water"", ""Smoke alarm"", ""Lockbox"", ""Iron"", ""Microwave"", ""Refrigerator"", ""Single level home"", ""Host greets you"", ""Hair dryer"", ""Self check-in"", ""Wifi"", ""Hangers"", ""Essentials"", ""Heating"", ""Shampoo"", ""Fire extinguisher"", ""Kitchen"", ""Bed linens""]",t,2013-09-17,2022-11-17,0363 D252 E58D DC05 2020,f,1586071,20240905174946,8447951.0,1.0,1.0,52.3825,4.85645,2.0,1.0,1.0,1.0,289.6,4.0,30.0,4.0,30.0,65.0,0.0,0,0,45.0,4.98,4.93,4.98,4.95,4.98,4.67,4.67,1.0,1.0,0.0,0.0
1876,2024-09-05,Leuke studio met dakterras,Ruud,2014-03-04,undefined time,0%,100%,f,t,"Amsterdam, North Holland, Netherlands",Private room in loft,Private room,"[""Dishes and silverware"", ""Shower gel"", ""Garden view"", ""Coffee"", ""Body soap"", ""Private backyard \u2013 Fully fenced"", ""Private living room"", ""Private patio or balcony"", ""Outdoor furniture"", ""Hot water"", ""Waterfront"", ""Smoke alarm"", ""Lockbox"", ""Microwave"", ""Refrigerator"", ""Central air conditioning"", ""Wine glasses"", ""Coffee maker: Nespresso"", ""Hair dryer"", ""EV charger"", ""Self check-in"", ""Wifi"", ""Hot water kettle"", ""Hangers"", ""Essentials"", ""Heating"", ""32 inch HDTV with standard cable, Netflix, premium cable"", ""Courtyard view"", ""Outdoor dining area"", ""Laundromat nearby"", ""Shampoo"", ""Fire extinguisher"", ""Private entrance"", ""Paid parking garage off premises"", ""Bed linens""]",t,2014-03-30,2024-03-03,0363 05A3 F95B 24B1 C82B,f,2497346,20240905174946,12784049.0,1.0,1.0,52.35425,4.88651,3.0,1.0,1.0,1.0,289.6,2.0,21.0,2.0,1125.0,65.0,0.0,0,0,13.4,4.65,4.65,4.73,4.86,4.87,4.86,4.44,1.0,1.0,0.0,0.0
1879,2024-09-05,Big bright room on the water,Marc,2013-12-28,undefined time,0%,0%,f,t,"Amsterdam, North Holland, Netherlands",Private room in townhouse,Private room,"[""Dishes and silverware"", ""Washer"", ""Dedicated workspace"", ""Coffee maker"", ""Patio or balcony"", ""Hot water"", ""Smoke alarm"", ""Iron"", ""Shared hot tub"", ""Microwave"", ""Refrigerator"", ""Lake access"", ""Host greets you"", ""Wifi"", ""Hangers"", ""Essentials"", ""Free street parking"", ""Heating"", ""Fire extinguisher"", ""Kitchen""]",t,2014-04-07,2023-04-22,0363 DF31 312C 8DDB 0B95,f,2551330,20240905174946,10863932.0,1.0,2.0,52.3695,4.83711,3.0,1.0,1.0,1.0,289.6,2.0,135.4,2.0,1125.0,65.0,0.0,0,0,13.4,4.85,4.91,4.81,4.91,4.92,4.58,4.68,1.0,1.0,0.0,0.0
1881,2024-09-05,Prinsengracht Cozy Retreat,Maurice & Dorien,2012-06-27,undefined time,0%,50%,f,t,"Amsterdam, North Holland, Netherlands",Private room in condo,Private room,"[""Dishes and silverware"", ""Coffee"", ""Dedicated workspace"", ""Coffee maker"", ""Outdoor furniture"", ""Paid parking off premises"", ""Carbon monoxide alarm"", ""Hot water"", ""Waterfront"", ""Smoke alarm"", ""Smart lock"", ""Clothing storage: closet"", ""Refrigerator"", ""Canal view"", ""Lake access"", ""Lock on bedroom door"", ""Single level home"", ""Luggage dropoff allowed"", ""Hair dryer"", ""Children\u2019s books and toys"", ""Bikes"", ""Self check-in"", ""Wifi"", ""Hangers"", ""Essentials"", ""Heating"", ""Long term stays allowed"", ""River view"", ""Freezer"", ""Room-darkening shades"", ""Shampoo"", ""Fire extinguisher"", ""Private entrance"", ""Kitchen"", ""Bed linens""]",t,2014-05-08,2023-10-29,0363 C424 4674 6CFD B279,f,2535685,20240905174946,2764651.0,1.0,1.4,52.36254,4.8928,2.0,1.0,1.0,1.0,289.6,3.0,500.0,2.0,500.0,65.0,0.0,0,0,13.4,4.89,4.91,4.96,4.96,4.93,4.93,4.72,1.0,1.0,0.0,0.0
1897,2024-09-05,Hotel Not Hotel Amsterdam: Crisis Free Zone,Hotel Not Hotel,2014-04-22,within an hour,96%,99%,f,t,"Amsterdam, Noord-Holland, Netherlands",Private room in bed and breakfast,Private room,"[""Smoke alarm"", ""Essentials"", ""Paid parking garage on premises"", ""First aid kit"", ""Wifi"", ""Fire extinguisher""]",t,2021-07-11,2024-07-02,Exempt,t,45615193,20240905174946,14574533.0,1.0,1.4,52.3673,4.85959,2.0,1.0,1.0,2.0,100.0,1.0,135.4,1.3,1000.0,65.0,12.0,60,335,46.0,4.9,4.9,4.8,4.72,5.0,4.8,4.7,1.0,1.0,0.0,0.0
1935,2024-09-05,Lovely Room in nice apartment,Sjoukje,2012-10-15,undefined time,0%,100%,t,t,"Amsterdam, North Holland, Netherlands",Private room in bed and breakfast,Private room,"[""Dishes and silverware"", ""Washer"", ""Dedicated workspace"", ""Coffee maker"", ""Paid parking off premises"", ""Cooking basics"", ""Carbon monoxide alarm"", ""Hot water"", ""Smoke alarm"", ""Iron"", ""Microwave"", ""Refrigerator"", ""Bathtub"", ""Extra pillows and blankets"", ""Single level home"", ""Oven"", ""Beach access \u2013 Beachfront"", ""Hair dryer"", ""Wifi"", ""Dishwasher"", ""Induction stove"", ""Hangers"", ""41 inch HDTV with standard cable, Amazon Prime Video, Netflix"", ""Essentials"", ""Heating"", ""Long term stays allowed"", ""First aid kit"", ""Shampoo"", ""Fire extinguisher"", ""Kitchen"", ""Bed linens""]",t,2013-05-03,2024-03-03,0363 70A7 0AB4 5705 B920,f,978852,20240905174946,3879155.0,1.0,1.4,52.37225,4.86262,1.0,1.0,1.0,1.0,289.6,3.0,135.4,3.0,1124.0,65.0,0.0,0,0,13.4,4.9,4.9,4.8,4.7,5.0,4.61,4.28,1.0,1.0,0.0,0.0
1936,2024-09-05,Private Garden room,Astrid,2012-11-06,within an hour,100%,88%,t,t,"Amsterdam, NH, Netherlands",Private room,Private room,"[""Dishes and silverware"", ""Shower gel"", ""Garden view"", ""Coffee"", ""Private backyard \u2013 Fully fenced"", ""Private living room"", ""Dedicated workspace"", ""Private patio or balcony"", ""Coffee maker"", ""Exterior security cameras on property"", ""Outdoor furniture"", ""Paid parking off premises"", ""Paid dryer \u2013 In building"", ""Hot water"", ""Smoke alarm"", ""Iron"", ""Drying rack for clothing"", ""Window guards"", ""Cleaning products"", ""Radiant heating"", ""Mini fridge"", ""Refrigerator"", ""Wine glasses"", ""Single level home"", ""Extra pillows and blankets"", ""Fast wifi \u2013 110 Mbps"", ""Host greets you"", ""Portable heater"", ""Paid washer \u2013 In building"", ""Luggage dropoff allowed"", ""Hair dryer"", ""Conditioner"", ""Hot water kettle"", ""Clothing storage: wardrobe"", ""Hangers"", ""Dining table"", ""Essentials"", ""Books and reading material"", ""Laundromat nearby"", ""First aid kit"", ""Shampoo"", ""Fire extinguisher"", ""Private entrance"", ""Bed linens""]",t,2018-05-22,2024-08-18,0363 8515 2BFF 0068 0947,f,974240,20240905174946,4073717.0,1.0,2.0,52.35049,4.84686,2.0,1.0,1.0,1.0,289.6,3.0,5.0,3.0,5.0,65.0,3.0,4,4,13.4,4.95,4.96,4.95,4.98,4.98,4.86,4.8,1.0,1.0,0.0,0.0
1944,2024-09-05,Quiet and cozy attic room in centre,Dinos,2013-09-22,within a day,100%,100%,f,t,undefined,Private room in rental unit,Private room,"[""Smoking allowed"", ""Essentials"", ""Washer"", ""Heating"", ""Kitchen"", ""First aid kit"", ""Shampoo"", ""Wifi"", ""TV with standard cable"", ""Dryer""]",t,2014-02-18,2023-10-23,0363 344D 2C17 4484 CBC8,f,2018017,20240905174946,8993151.0,1.0,2.0,52.37125,4.90529,2.0,1.0,1.0,1.0,289.6,2.0,15.0,2.0,15.0,65.0,0.0,0,0,73.0,4.58,4.6,4.34,4.92,4.93,4.95,4.22,1.0,1.0,0.0,0.0
1953,2024-09-05,Dahli's Sleep Boutique - Gardenview,City Apartments,2012-10-17,within an hour,100%,100%,f,t,undefined,Private room in bed and breakfast,Private room,"[""Shower gel"", ""Coffee"", ""Body soap"", ""Portable fans"", ""Coffee maker"", ""TV with standard cable"", ""Hot water"", ""Pocket wifi"", ""Smoke alarm"", ""Iron"", ""Clothing storage: closet"", ""Ethernet connection"", ""Mini fridge"", ""Wine glasses"", ""Extra pillows and blankets"", ""Paid street parking off premises"", ""Safe"", ""Hair dryer"", ""Wifi"", ""Hangers"", ""Essentials"", ""Heating"", ""Long term stays allowed"", ""Laundromat nearby"", ""Shampoo"", ""Fire extinguisher"", ""Private entrance"", ""Bed linens""]",t,2014-08-31,2024-03-25,0363 3D40 C88D 9D23 A70E,t,1086795,20240905174946,3899684.0,1.0,1.4,52.36218,4.89768,2.0,1.0,1.0,1.0,289.6,3.0,365.0,3.0,724.3,65.0,3.0,29,297,28.0,4.61,4.61,4.71,4.82,5.0,4.96,4.36,1.0,1.0,0.0,0.0
1954,2024-09-05,Canal app. 80m² Museum+shop area,Hans,2012-12-23,within a day,80%,90%,t,t,undefined,Private room in rental unit,Private room,"[""Dishes and silverware"", ""Washer"", ""Coffee maker"", ""Cooking basics"", ""Carbon monoxide alarm"", ""TV with standard cable"", ""Hot water"", ""Smoke alarm"", ""Stove"", ""Iron"", ""Lockbox"", ""Microwave"", ""Refrigerator"", ""Single level home"", ""Oven"", ""Hair dryer"", ""Self check-in"", ""Wifi"", ""Dryer"", ""Dishwasher"", ""Hangers"", ""Essentials"", ""Heating"", ""First aid kit"", ""Shampoo"", ""Fire extinguisher"", ""Kitchen""]",t,2013-05-11,2019-11-24,0363 1928 78CA 1A97 A407,f,1018639,20240905174946,4473576.0,1.0,3.0,52.36181,4.88783,2.0,1.0,1.0,1.0,289.6,3.0,135.4,3.0,1125.0,65.0,0.0,0,0,41.0,4.61,4.65,4.7,4.83,4.83,4.95,4.45,1.0,1.0,0.0,0.0
1963,2024-09-06,"Lake view artist atelier/studio, at the citybeach.",Nicole,2015-10-13,undefined time,0%,0%,f,t,"Amsterdam, Noord-Holland, Netherlands",Private room in home,Private room,"[""Smoke alarm"", ""Hangers"", ""Essentials"", ""Iron"", ""Heating"", ""First aid kit"", ""Lake access"", ""Hair dryer"", ""Carbon monoxide alarm"", ""Shampoo"", ""Wifi"", ""Fire extinguisher"", ""Lock on bedroom door""]",t,2019-09-06,2020-01-01,0363 55A1 D45C 0732 D6EB,f,37643572,20240905174946,46433878.0,1.0,1.4,52.35246,4.9,2.0,1.0,1.0,1.0,289.6,3.0,135.4,3.0,1125.0,65.0,0.0,0,0,9.0,4.89,5.0,4.89,5.0,5.0,4.89,4.78,1.0,1.0,0.0,0.0
1976,2024-09-06,Boogaard's Deluxe room (Center of old city),Boogaard'S BnB,2016-05-15,within an hour,100%,100%,f,t,"Amsterdam, Noord-Holland, Netherlands",Private room in bed and breakfast,Private room,"[""Coffee maker"", ""Carbon monoxide alarm"", ""TV with standard cable"", ""Hot water"", ""Smoke alarm"", ""Lockbox"", ""Iron"", ""Refrigerator"", ""Extra pillows and blankets"", ""Hair dryer"", ""Indoor fireplace"", ""Self check-in"", ""Wifi"", ""Air conditioning"", ""Hangers"", ""Essentials"", ""Room-darkening shades"", ""Heating"", ""First aid kit"", ""Shampoo"", ""Fire extinguisher"", ""Bed linens""]",t,2016-06-04,2024-08-17,0363 FD81 B990 9F95 8DC4,t,13051355,20240905174946,72052828.0,1.0,2.0,52.37103,4.89583,2.0,1.0,1.0,1.0,153.0,1.0,135.4,1.6,1125.0,65.0,11.0,64,64,13.4,4.58,4.66,4.63,4.82,4.77,4.9,4.46,1.0,1.0,0.0,0.0
1996,2024-09-06,Standard Small Double Room with small double bed,Galanti,2020-09-16,within an hour,100%,100%,f,t,"Amsterdam, Noord-Holland, Netherlands",Room in hotel,Private room,"[""Cleaning available during stay"", ""Smoke alarm"", ""Hangers"", ""Essentials"", ""Window guards"", ""Host greets you"", ""Body soap"", ""Central heating"", ""Luggage dropoff allowed"", ""Courtyard view"", ""Long term stays allowed"", ""Clothing storage"", ""Laundromat nearby"", ""Wifi"", ""Fire extinguisher"", ""Extra pillows and blankets"", ""Bed linens"", ""Hot water""]",t,2022-05-26,2024-09-02,Exempt,t,619283373356472530,20240905174946,367808546.0,1.0,1.4,52.36140954639633,4.892773485527144,2.0,1.0,1.0,1.0,141.0,1.0,365.0,1.5,365.0,65.0,6.0,45,97,13.4,4.9,4.9,4.44,4.79,4.77,4.77,4.31,1.0,1.0,0.0,0.0
1997,2024-09-06,Lovely cosy houseboat in A'dam East,Juul,2012-07-17,within an hour,100%,100%,t,t,"Amsterdam, Noord-Holland, Netherlands",Private room in houseboat,Private room,"[""Dishes and silverware"", ""Shower gel"", ""Bay view"", ""Private living room"", ""Coffee maker"", ""Patio or balcony"", ""Outdoor furniture"", ""Carbon monoxide alarm"", ""Lake view"", ""Hot water"", ""Pocket wifi"", ""Waterfront"", ""Smoke alarm"", ""Lockbox"", ""Iron"", ""Microwave"", ""Refrigerator"", ""Canal view"", ""Crib"", ""Lake access"", ""Extra pillows and blankets"", ""Shampoo"", ""Luggage dropoff allowed"", ""Hair dryer"", ""Children\u2019s books and toys"", ""Self check-in"", ""Wifi"", ""Hangers"", ""Essentials"", ""Backyard"", ""Free street parking"", ""Heating"", ""Children\u2019s dinnerware"", ""Harbor view"", ""Pack \u2019n play/Travel crib"", ""River view"", ""Room-darkening shades"", ""HDTV with Netflix"", ""Fire extinguisher"", ""Private entrance"", ""High chair"", ""Bed linens""]",t,2014-08-31,2024-07-26,0363 26FB 9833 4F52 AD8C,t,3926355,20240905174946,2963123.0,1.0,1.4,52.37047576904297,4.9409708976745605,4.0,1.0,2.0,3.0,137.0,3.0,135.4,2.4,1125.0,65.0,13.0,70,345,13.4,4.8,4.81,4.77,4.92,4.9,4.74,4.66,1.0,1.0,0.0,0.0
2023,2024-09-06,Q-Factory Hotel: The Artist,Q-Factory,2021-05-12,within an hour,97%,100%,f,t,undefined,Room in hotel,Private room,"[""Smoke alarm"", ""Essentials"", ""Heating"", ""TV"", ""Dedicated workspace"", ""Elevator"", ""Wifi""]",t,2021-07-11,2021-08-24,Exempt,t,49940338,20240905174946,401163260.0,1.0,1.4,52.35829,4.93149,2.0,1.0,1.0,1.0,119.0,1.0,360.0,1.0,1000.0,65.0,9.0,57,327,3.0,4.9,4.9,4.8,5.0,5.0,4.8,4.7,1.0,1.0,0.0,0.0
2036,2024-09-05,Amsterdam Amstel Garden Room 03636103 EE5CF4CE42DF,Harald,2013-02-06,undefined time,0%,100%,t,t,"Amsterdam, North Holland, Netherlands",Private room in guest suite,Private room,"[""Dishes and silverware"", ""Toaster"", ""Shower gel"", ""Garden view"", ""Coffee"", ""Body soap"", ""Private backyard \u2013 Fully fenced"", ""Private patio or balcony"", ""Coffee maker"", ""Outdoor furniture"", ""Paid parking off premises"", ""Cooking basics"", ""Carbon monoxide alarm"", ""First aid kit"", ""Paid dryer \u2013 In building"", ""Hot water"", ""Waterfront"", ""Smoke alarm"", ""Stove"", ""Iron"", ""Clothing storage: closet"", ""Mini fridge"", ""Microwave"", ""Refrigerator"", ""Wine glasses"", ""Bathtub"", ""Extra pillows and blankets"", ""Lock on bedroom door"", ""Host greets you"", ""Luggage dropoff allowed"", ""Paid washer \u2013 In building"", ""Hair dryer"", ""Wifi"", ""Hot water kettle"", ""Hangers"", ""Essentials"", ""Books and reading material"", ""Heating"", ""Courtyard view"", ""Laundromat nearby"", ""Room-darkening shades"", ""Shampoo"", ""Fire extinguisher"", ""Kitchen"", ""Bed linens""]",t,2014-08-19,2024-03-28,0363 6103 EE5C F4CE 42DF,f,3840321,20240905174946,4994590.0,1.0,1.0,52.35772,4.90668,2.0,1.0,1.0,1.0,289.6,4.0,7.0,4.0,1125.0,65.0,0.0,0,0,13.4,4.9,4.87,4.92,4.96,4.94,4.84,4.81,1.0,1.0,0.0,0.0
2042,2024-09-05,"Cozy, quiet, free parking, lush garden, breakfast",Marion,2014-07-24,within an hour,100%,83%,f,t,"Amsterdam, North Holland, Netherlands",Private room in bed and breakfast,Private room,"[""Dishes and silverware"", ""Shower gel"", ""Garden view"", ""Coffee"", ""Body soap"", ""Central heating"", ""Private backyard \u2013 Fully fenced"", ""Private living room"", ""Dedicated workspace"", ""Coffee maker"", ""Outdoor furniture"", ""Carbon monoxide alarm"", ""Hot water"", ""Smoke alarm"", ""Drying rack for clothing"", ""Cleaning products"", ""Microwave"", ""Refrigerator"", ""Wine glasses"", ""Host greets you"", ""Luggage dropoff allowed"", ""Hair dryer"", ""Bikes"", ""Wifi"", ""Mosquito net"", ""Hot water kettle"", ""Hangers"", ""Dining table"", ""Essentials"", ""Breakfast"", ""Books and reading material"", ""Free street parking"", ""Outdoor dining area"", ""Private sauna"", ""Room-darkening shades"", ""Shampoo"", ""Fire extinguisher"", ""Private entrance"", ""Bed linens""]",t,2014-08-09,2024-08-27,0363 4BB2 1F50 2594 116C,f,3700218,20240905174946,18823161.0,1.0,1.0,52.4,4.8996,2.0,1.0,1.0,1.0,289.6,3.0,30.0,3.0,30.0,65.0,0.0,0,0,13.4,4.84,4.85,4.94,4.95,4.99,4.76,4.81,1.0,1.0,0.0,0.0
2045,2024-09-06,At Amstel (A) with private bathroom and parking,Margaux,2014-06-17,within a day,80%,69%,t,t,"Amsterdam, Noord-Holland, Netherlands",Private room in villa,Private room,"[""Crib - available upon request"", ""Standalone high chair - available upon request"", ""Dishes and silverware"", ""Toaster"", ""Shower gel"", ""Garden view"", ""Viking gas stove"", ""Coffee"", ""Boat slip"", ""Dedicated workspace"", ""Babysitter recommendations"", ""Cooking basics"", ""Hot water"", ""Waterfront"", ""Lockbox"", ""Zenology shampoo"", ""Iron"", ""Blender"", ""Clothing storage: closet"", ""Microwave"", ""Wine glasses"", ""Free parking on premises"", ""Lock on bedroom door"", ""Coffee maker: Nespresso"", ""Zenology conditioner"", ""Zenology body soap"", ""Portable heater"", ""Shared backyard \u2013 Not fully fenced"", ""Hair dryer"", ""Self check-in"", ""Wifi"", ""Miele refrigerator"", ""Dishwasher"", ""Children\u2019s books and toys for ages 0-2 years old, 2-5 years old, and 5-10 years old"", ""Hot water kettle"", ""Hangers"", ""Dining table"", ""Essentials"", ""Books and reading material"", ""Long term stays allowed"", ""Freezer"", ""First aid kit"", ""Fire extinguisher"", ""Kitchen"", ""Bed linens""]",t,2022-10-01,2024-07-07,0363 71C9 B5A3 FA77 AAA6,f,713667623231781051,20240905174946,16898219.0,1.0,1.4,52.33379,4.90288,2.0,1.0,1.0,1.0,289.6,2.0,35.0,2.0,35.0,65.0,0.0,0,0,23.0,4.61,4.78,4.74,4.9,4.78,4.78,4.39,1.0,1.0,0.0,0.0
2046,2024-09-05,The Amazing Space Age Boat - centrally located,Valkiria,2018-02-20,within an hour,100%,99%,t,t,"Amsterdam, Noord-Holland, Netherlands",Private room in boat,Private room,"[""Dishes and silverware"", ""Central heating"", ""Private living room"", ""Coffee maker"", ""Patio or balcony"", ""Paid parking off premises"", ""TV with standard cable"", ""Hot water"", ""Waterfront"", ""Smoke alarm"", ""Lockbox"", ""Radiant heating"", ""Refrigerator"", ""Crib"", ""Hair dryer"", ""Self check-in"", ""Wifi"", ""Hangers"", ""Essentials"", ""Shampoo"", ""Fire extinguisher"", ""Private entrance"", ""High chair"", ""Bed linens""]",t,2018-03-08,2024-09-02,0363 534D 43C9 1AC9 ED85,f,23390929,20240905174946,174385992.0,1.0,1.0,52.37069,4.87153,2.0,1.0,1.0,1.0,169.0,3.0,28.0,2.4,1125.0,65.0,0.0,8,164,13.4,4.79,4.82,4.77,4.84,4.8,4.88,4.64,1.0,1.0,0.0,0.0
2061,2024-09-05,Unique room in colorful area in central Amsterdam,Annemarie,2019-03-18,undefined time,0%,0%,f,t,"Amsterdam, North Holland, Netherlands",Private room in rental unit,Private room,"[""Dishes and silverware"", ""Dedicated workspace"", ""Paid parking off premises"", ""Cooking basics"", ""Hot water"", ""Smoke alarm"", ""Iron"", ""Ethernet connection"", ""Refrigerator"", ""Extra pillows and blankets"", ""Free washer \u2013 In building"", ""Luggage dropoff allowed"", ""Coffee maker: french press, pour-over coffee"", ""Wifi"", ""Hangers"", ""Essentials"", ""Heating"", ""TV"", ""Long term stays allowed"", ""Shampoo"", ""Kitchen"", ""Bed linens""]",t,2018-04-04,2024-07-19,0363 A429 4F0F C15D CB4D,f,4251291,20240905174946,249607376.0,1.0,1.0,52.37232,4.901,2.0,1.0,1.0,1.0,289.6,5.0,14.0,5.0,1125.0,65.0,0.0,0,0,52.0,4.83,4.79,4.75,4.87,4.92,4.94,4.61,1.0,1.0,0.0,0.0
2062,2024-09-05,Great Big Bedroom in Amsterdam!!!,Wouter,2013-12-11,within an hour,100%,100%,t,t,"Amsterdam, North Holland, Netherlands",Private room in condo,Private room,"[""Dishes and silverware"", ""Toaster"", ""Shower gel"", ""Coffee"", ""Free washer \u2013 In unit"", ""Body soap"", ""Portable fans"", ""Dedicated workspace"", ""Kitchen"", ""Coffee maker"", ""Patio or balcony"", ""Outdoor furniture"", ""Cooking basics"", ""Paid parking off premises"", ""Carbon monoxide alarm"", ""First aid kit"", ""BBQ grill"", ""Hot water"", ""Smoke alarm"", ""Stove"", ""Iron"", ""Drying rack for clothing"", ""Sound system"", ""Cleaning products"", ""Ethernet connection"", ""Free dryer \u2013 In building"", ""Microwave"", ""Refrigerator"", ""Building staff"", ""Wine glasses"", ""Single level home"", ""Extra pillows and blankets"", ""Shared backyard \u2013 Fully fenced"", ""Oven"", ""Luggage dropoff allowed"", ""Hair dryer"", ""Self check-in"", ""Wifi"", ""Dishwasher"", ""Hot water kettle"", ""Hangers"", ""Essentials"", ""Books and reading material"", ""Heating"", ""Board games"", ""Outdoor dining area"", ""32 inch HDTV with Chromecast"", ""Freezer"", ""Room-darkening shades"", ""Shampoo"", ""Laundromat nearby"", ""Fire extinguisher"", ""High chair"", ""Bed linens""]",t,2015-04-04,2024-08-17,0363 30A1 99CE 453F 9C1B,t,4224540,20240905174946,10565382.0,1.0,1.4,52.34104,4.9039,3.0,1.0,1.0,1.0,289.6,2.0,7.0,2.4,1125.0,65.0,0.0,0,0,13.4,4.88,4.83,4.75,4.95,4.94,4.73,4.7,1.0,1.0,0.0,0.0
2100,2024-09-05,Jacuzzi Amsterdam Center Sunny top floor apartment,Irthe,2014-06-05,within a few hours,100%,97%,t,t,undefined,Private room in rental unit,Private room,"[""Dishes and silverware"", ""Toaster"", ""Shower gel"", ""Coffee"", ""Body soap"", ""Washer"", ""Private living room"", ""Dedicated workspace"", ""Private patio or balcony"", ""Pets allowed"", ""Coffee maker"", ""Outdoor furniture"", ""Paid parking off premises"", ""Cooking basics"", ""Carbon monoxide alarm"", ""TV with standard cable"", ""Hot water"", ""Pocket wifi"", ""Smoke alarm"", ""Stove"", ""Iron"", ""Drying rack for clothing"", ""Cleaning products"", ""Blender"", ""Ethernet connection"", ""Bread maker"", ""Microwave"", ""Refrigerator"", ""Hammock"", ""Wine glasses"", ""Free parking on premises"", ""Bathtub"", ""Extra pillows and blankets"", ""Host greets you"", ""Oven"", ""Private hot tub"", ""Luggage dropoff allowed"", ""Hair dryer"", ""Indoor fireplace"", ""EV charger"", ""Conditioner"", ""Wifi"", ""Dryer"", ""Dishwasher"", ""Hot water kettle"", ""Hangers"", ""Dining table"", ""Essentials"", ""Books and reading material"", ""Heating"", ""Board games"", ""Long term stays allowed"", ""Freezer"", ""First aid kit"", ""Shampoo"", ""Fire extinguisher"", ""Private entrance"", ""Kitchen"", ""Bed linens"", ""Baking sheet""]",t,2015-05-04,2024-07-26,0363 5FFE 6FFF 15B3 4C74,f,6089697,20240905174946,16442553.0,1.0,3.0,52.38991,4.87708,4.0,1.0,2.0,1.0,289.6,1.0,135.4,1.0,1125.0,65.0,2.6,71,345,13.4,4.77,4.8,4.63,4.86,4.9,4.73,4.56,1.0,1.0,0.0,0.0
2128,2024-09-06,Spacious room in new apartment,Ian,2022-07-11,undefined time,0%,100%,f,t,undefined,Private room in rental unit,Private room,"[""Paid parking on premises"", ""Shower gel"", ""Coffee"", ""Central heating"", ""Washer"", ""Portable fans"", ""Dedicated workspace"", ""Hot tub"", ""Pets allowed"", ""Dove body soap"", ""Carbon monoxide alarm"", ""Hot water"", ""Smoke alarm"", ""Iron"", ""Drying rack for clothing"", ""Cleaning products"", ""Shared patio or balcony"", ""Dove shampoo"", ""Bathtub"", ""Extra pillows and blankets"", ""Lock on bedroom door"", ""Hair dryer"", ""Conditioner"", ""Wifi"", ""Hot water kettle"", ""Clothing storage: wardrobe"", ""Hangers"", ""Dining table"", ""Essentials"", ""TV"", ""First aid kit"", ""Fire extinguisher"", ""Bed linens""]",t,2023-03-30,2024-05-12,0363 432C 8BC8 4522 1AFF,f,852043442856009458,20240905174946,75942371.7,1.0,1.0,52.37219293156049,4.854830094488163,3.0,1.0,1.0,1.0,289.6,3.0,365.0,2.3,365.0,65.0,0.0,0,0,47.0,4.55,4.57,4.38,4.9,5.0,4.64,4.7,1.0,1.0,0.0,0.0
