,id,last_scraped,name,host_id,host_name,host_since,host_response_time,host_is_superhost,host_identity_verified,neighbourhood,neighbourhood_cleansed,latitude,longitude,property_type,room_type,amenities,calendar_last_scraped,has_availability,first_review,last_review,license,instant_bookable,host_response_rate,host_acceptance_rate,host_listings_count,host_total_listings_count,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_90,availability_365,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms
8248,45499208,2024-09-25,Shared Room,207240505,Luis,2018-08-04,a few days or more,f,t,Mexico City,Cuauhtémoc,19.46081,-99.14787,Shared room in home,Shared room,"[""Iron"", ""Washer"", ""Outdoor furniture"", ""Wifi"", ""Freezer"", ""Refrigerator"", ""Dishes and silverware"", ""Ethernet connection"", ""Self check-in"", ""Hangers"", ""Coffee maker"", ""Backyard"", ""Long term stays allowed"", ""First aid kit"", ""Essentials"", ""Shampoo"", ""Hot water"", ""Smoking allowed"", ""Clothing storage: closet"", ""Luggage dropoff allowed"", ""TV"", ""Pocket wifi"", ""Patio or balcony"", ""Bed linens"", ""Kitchen"", ""Outdoor dining area"", ""Drying rack for clothing"", ""Stove"", ""Fire extinguisher"", ""Free street parking"", ""Microwave"", ""Dedicated workspace"", ""Cooking basics"", ""Hair dryer"", ""Building staff""]",2024-09-25,t,2020-10-31,2023-08-31,Unknown,f,1.0,0.3,116.0,124.0,1.0,3.0,1.0,1.0,171.0,28.0,365.0,28.0,365.0,30,90,365,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,115.0,0.0,1.8,0.1
8293,45364826,2024-09-26,Habitaciones Centro Holistico Uneco,366757698,Juana,2020-09-09,Unknown,f,f,Mexico City,Tlalpan,19.2151,-99.15874,Shared room in cabin,Shared room,"[""Free parking on premises"", ""Wifi"", ""Heating"", ""Breakfast"", ""First aid kit"", ""Essentials"", ""Shampoo""]",2024-09-26,t,No reviews,No reviews,Unknown,f,0.9361689895470384,0.8949061696116056,1.0,1.0,2.0,1.0,2.0,2.0,1511.648404142887,1.0,30.0,1.0,1125.0,0,0,0,0.0,4.85,4.88,4.86,4.92,4.93,4.93,4.81,1.0,0.0,0.0,1.0
8431,45704364,2024-09-25,Habitaciones o depto para estudiantes extranjeros,370369266,Carlos,2020-10-03,Unknown,f,t,Mexico City,Coyoacán,19.33776,-99.18234,Shared room in rental unit,Shared room,"[""Free parking on premises"", ""Washer"", ""Wifi"", ""Kitchen"", ""Hangers""]",2024-09-25,t,No reviews,No reviews,Unknown,f,0.9361689895470384,0.8949061696116056,2.0,2.0,3.0,1.0,1.0,5.0,1373.3,3.0,265.0,2.8,1125.0,30,90,365,0.0,4.85,4.88,4.86,4.92,4.93,4.93,4.81,2.0,0.0,1.0,1.0
8530,45861509,2024-09-25,Shared Room For Woman,207240505,Luis,2018-08-04,a few days or more,f,t,Mexico City,Cuauhtémoc,19.46087,-99.14849,Shared room in home,Shared room,"[""Iron"", ""Washer"", ""Outdoor furniture"", ""Wifi"", ""Freezer"", ""Laundromat nearby"", ""Refrigerator"", ""Dishes and silverware"", ""Ethernet connection"", ""Self check-in"", ""Building staff"", ""Hangers"", ""Coffee maker"", ""Long term stays allowed"", ""First aid kit"", ""Essentials"", ""Shampoo"", ""Hot water"", ""Smoking allowed"", ""Dining table"", ""Clothing storage: closet"", ""Luggage dropoff allowed"", ""TV"", ""Pocket wifi"", ""Patio or balcony"", ""Bed linens"", ""Kitchen"", ""Shared backyard \u2013 Fully fenced"", ""Outdoor dining area"", ""Drying rack for clothing"", ""Stove"", ""Fire extinguisher"", ""Free street parking"", ""Exterior security cameras on property"", ""Cooking basics"", ""Hair dryer"", ""Microwave""]",2024-09-25,t,2020-11-29,2021-07-19,Unknown,f,1.0,0.3,116.0,124.0,1.0,4.0,1.0,1.0,171.0,28.0,365.0,28.0,365.0,30,90,365,3.0,5.0,4.67,4.67,5.0,5.0,5.0,5.0,115.0,0.0,1.8,0.1
8736,46792871,2024-09-25,Single and shared rooms near downtown.,207240505,Luis,2018-08-04,a few days or more,f,t,Mexico City,Cuauhtémoc,19.46426,-99.14419,Shared room in home,Shared room,"[""Iron"", ""Washer"", ""Wifi"", ""Freezer"", ""Refrigerator"", ""Dishes and silverware"", ""Ethernet connection"", ""Self check-in"", ""Building staff"", ""Hangers"", ""Long term stays allowed"", ""Essentials"", ""Shampoo"", ""Hot water"", ""Smoking allowed"", ""Barbecue utensils"", ""Luggage dropoff allowed"", ""TV with standard cable"", ""Patio or balcony"", ""Kitchen"", ""Oven"", ""BBQ grill"", ""Stove"", ""Window guards"", ""Room-darkening shades"", ""Free street parking"", ""Exterior security cameras on property"", ""Dedicated workspace"", ""Cooking basics"", ""Hair dryer"", ""Microwave""]",2024-09-25,t,2021-03-31,2023-04-03,Unknown,f,1.0,0.3,116.0,124.0,1.0,2.0,1.0,1.0,171.0,28.0,365.0,28.0,365.0,30,90,365,9.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,115.0,0.0,1.8,0.1
8759,46836250,2024-09-25,"Shared room, near to Metrobus!",207240505,Luis,2018-08-04,a few days or more,f,t,Mexico City,Cuauhtémoc,19.46396,-99.14571,Shared room in home,Shared room,"[""Iron"", ""Washer"", ""Wifi"", ""Freezer"", ""Laundromat nearby"", ""Refrigerator"", ""Dishes and silverware"", ""Ethernet connection"", ""Self check-in"", ""Building staff"", ""Hangers"", ""Long term stays allowed"", ""Essentials"", ""Shampoo"", ""Hot water"", ""Smoking allowed"", ""Barbecue utensils"", ""Luggage dropoff allowed"", ""TV with standard cable"", ""Patio or balcony"", ""Kitchen"", ""Oven"", ""BBQ grill"", ""Stove"", ""Window guards"", ""Room-darkening shades"", ""Free street parking"", ""Exterior security cameras on property"", ""Dedicated workspace"", ""Cooking basics"", ""Hair dryer"", ""Microwave""]",2024-09-25,t,2021-01-08,2021-07-17,Unknown,f,1.0,0.3,116.0,124.0,1.0,2.0,1.0,1.0,199.0,28.0,365.0,28.0,365.0,30,90,365,3.0,4.33,5.0,4.67,4.67,5.0,5.0,4.67,115.0,0.0,1.8,0.1
8778,46883444,2024-09-25,Cómodo espacio 10 min Foro Sol y Palacio deportes,224641671,Iliana,2018-11-07,within an hour,t,t,"Mexico City, Ciudad de México, Mexico",Venustiano Carranza,19.41221,-99.09895,Shared room in rental unit,Shared room,"[""Iron"", ""Wifi"", ""Freezer"", ""Laundromat nearby"", ""Host greets you"", ""Gas stove"", ""Refrigerator"", ""Mosquito net"", ""Dishes and silverware"", ""Hangers"", ""Mini fridge"", ""Shared backyard"", ""Body soap"", ""Carbon monoxide alarm"", ""First aid kit"", ""Garden view"", ""Hot water"", ""Smoking allowed"", ""Dining table"", ""Luggage dropoff allowed"", ""TV"", ""Sound system with aux"", ""Coffee"", ""Bed linens"", ""Kitchen"", ""Oven"", ""Books and reading material"", ""Drying rack for clothing"", ""Smoke alarm"", ""Extra pillows and blankets"", ""Window guards"", ""Clothing storage: wardrobe"", ""Free street parking"", ""Dedicated workspace"", ""Cooking basics"", ""Hair dryer""]",2024-09-25,t,2022-03-21,2024-09-23,Unknown,f,1.0,0.99,2.0,3.0,4.0,1.0,1.0,4.0,417.0,1.0,2.0,1.0,1125.0,23,72,345,95.0,4.82,4.77,4.61,4.78,4.88,4.94,4.73,2.0,0.0,0.0,2.0
8780,46717456,2024-09-26,Cama en Habitación ¨Peyote¨ dentro de Hostal,79895724,Maria Esperanza,2016-06-25,within an hour,f,t,"Mexico City, Ciudad de México, Mexico",Cuauhtémoc,19.431076049804688,-99.16026306152344,Shared room in hostel,Shared room,"[""Iron"", ""Wifi"", ""Laundromat nearby"", ""Induction stove"", ""Refrigerator"", ""Dishes and silverware"", ""Self check-in"", ""Building staff"", ""Blender"", ""Ceiling fan"", ""Hangers"", ""Body soap"", ""Hot water kettle"", ""First aid kit"", ""Toaster"", ""Essentials"", ""Shampoo"", ""Hot water"", ""Shower gel"", ""TV"", ""Bed linens"", ""Kitchen"", ""Fire extinguisher"", ""Room-darkening shades"", ""Exterior security cameras on property"", ""Dedicated workspace"", ""Cooking basics"", ""Hair dryer"", ""Microwave""]",2024-09-26,t,2020-12-15,2023-06-29,Unknown,t,1.0,1.0,25.0,27.0,1.0,4.0,1.0,1.0,300.0,1.0,7.0,1.0,1125.0,20,70,70,64.0,4.75,4.81,4.61,4.78,4.78,4.91,4.66,22.0,1.0,12.0,9.0
8951,47705899,2024-09-25,Habitaciónes Compartidas Para Viajeros,207240505,Luis,2018-08-04,a few days or more,f,t,Mexico City,Cuauhtémoc,19.46003,-99.14856,Shared room in home,Shared room,"[""Iron"", ""Outdoor furniture"", ""Wifi"", ""Freezer"", ""Refrigerator"", ""Dishes and silverware"", ""Ethernet connection"", ""Self check-in"", ""Hangers"", ""Body soap"", ""Free washer \u2013 In building"", ""Coffee maker"", ""Backyard"", ""Long term stays allowed"", ""First aid kit"", ""Essentials"", ""Shampoo"", ""Hot water"", ""Smoking allowed"", ""Dining table"", ""Clothing storage: closet"", ""Luggage dropoff allowed"", ""TV"", ""Pocket wifi"", ""Patio or balcony"", ""Bed linens"", ""Kitchen"", ""Outdoor dining area"", ""Drying rack for clothing"", ""Stove"", ""Fire extinguisher"", ""Free street parking"", ""Microwave"", ""Dedicated workspace"", ""Cooking basics"", ""Hair dryer"", ""Building staff""]",2024-09-25,t,No reviews,No reviews,Unknown,f,1.0,0.3,116.0,124.0,1.0,1.4,1.0,1.0,168.0,28.0,365.0,28.0,365.0,30,90,365,0.0,4.85,4.88,4.86,4.92,4.93,4.93,4.81,115.0,0.0,1.8,0.1
8953,47707378,2024-09-25,Single and shared rooms near downtown.,207240505,Luis,2018-08-04,a few days or more,f,t,Mexico City,Cuauhtémoc,19.45965,-99.14724,Shared room in home,Shared room,"[""Iron"", ""Outdoor furniture"", ""Wifi"", ""Self check-in"", ""Hangers"", ""Body soap"", ""Long term stays allowed"", ""First aid kit"", ""Essentials"", ""Shampoo"", ""Hot water"", ""Smoking allowed"", ""Luggage dropoff allowed"", ""TV"", ""Patio or balcony"", ""Bed linens"", ""Kitchen"", ""Shared backyard \u2013 Fully fenced"", ""Stove"", ""Fire extinguisher"", ""Free street parking"", ""Microwave"", ""Dedicated workspace"", ""Cooking basics"", ""Hair dryer"", ""Building staff""]",2024-09-25,t,2021-05-07,2022-11-30,Unknown,f,1.0,0.3,116.0,124.0,1.0,3.0,1.0,1.0,171.0,28.0,365.0,28.0,365.0,30,90,365,6.0,4.5,4.5,4.5,4.67,4.5,5.0,4.17,115.0,0.0,1.8,0.1
8988,47781375,2024-09-25,Single and shared rooms near downtown.,207240505,Luis,2018-08-04,a few days or more,f,t,Mexico City,Cuauhtémoc,19.46145,-99.14823,Shared room in home,Shared room,"[""Iron"", ""Outdoor furniture"", ""Wifi"", ""Freezer"", ""Laundromat nearby"", ""Refrigerator"", ""Dishes and silverware"", ""Ethernet connection"", ""Self check-in"", ""Hangers"", ""Body soap"", ""Free washer \u2013 In building"", ""Backyard"", ""Long term stays allowed"", ""First aid kit"", ""Essentials"", ""Shampoo"", ""Hot water"", ""Smoking allowed"", ""Dining table"", ""Clothing storage: closet"", ""Luggage dropoff allowed"", ""TV"", ""Pocket wifi"", ""Patio or balcony"", ""Bed linens"", ""Kitchen"", ""Outdoor dining area"", ""Drying rack for clothing"", ""Stove"", ""Fire extinguisher"", ""Free street parking"", ""Microwave"", ""Dedicated workspace"", ""Cooking basics"", ""Hair dryer"", ""Building staff""]",2024-09-25,t,2021-06-15,2023-09-16,Unknown,f,1.0,0.3,116.0,124.0,1.0,1.4,1.0,1.0,169.0,28.0,365.0,28.0,365.0,30,90,365,2.0,4.5,5.0,5.0,5.0,5.0,5.0,5.0,115.0,0.0,1.8,0.1
9076,47935106,2024-09-25,Aparta tu cama en dormitorio compartido,350569707,Héctor Manuel,2020-06-17,within an hour,f,t,Mexico City,Cuauhtémoc,19.42908,-99.13632,Shared room in hostel,Shared room,"[""Iron"", ""Wifi"", ""Fire extinguisher"", ""Kitchen"", ""First aid kit"", ""Cooking basics"", ""Smoke alarm""]",2024-09-25,t,2022-07-15,2024-08-29,Unknown,t,0.83,0.85,4.0,4.0,1.0,0.0,1.0,1.0,249.0,1.0,15.0,1.0,1125.0,30,90,365,4.0,4.25,4.25,4.5,4.5,4.5,4.5,4.25,4.0,0.0,1.0,3.0
9148,48052717,2024-09-26,Departamento,387390558,Beatriz,2021-02-05,Unknown,f,f,"Mexico City, Ciudad de México, Mexico",Álvaro Obregón,19.3399,-99.23574,Shared room in rental unit,Shared room,"[""Free carport on premises \u2013 1 space"", ""Host greets you"", ""Smoking allowed"", ""Bed linens""]",2024-09-26,t,No reviews,No reviews,Unknown,f,0.9361689895470384,0.8949061696116056,1.0,1.0,1.0,1.0,2.0,2.0,1511.648404142887,3.0,1125.0,2.8,1125.0,0,0,0,0.0,4.85,4.88,4.86,4.92,4.93,4.93,4.81,1.0,0.0,0.0,1.0
9197,48622271,2024-09-25,Single and shared rooms near downtown.,207240505,Luis,2018-08-04,a few days or more,f,t,Mexico City,Cuauhtémoc,19.46011,-99.14852,Shared room in home,Shared room,"[""Iron"", ""Wifi"", ""Refrigerator"", ""Ethernet connection"", ""Self check-in"", ""Hangers"", ""Body soap"", ""Coffee maker"", ""Backyard"", ""Long term stays allowed"", ""First aid kit"", ""Essentials"", ""Shampoo"", ""Hot water"", ""Smoking allowed"", ""Dining table"", ""Luggage dropoff allowed"", ""TV"", ""Pocket wifi"", ""Patio or balcony"", ""Bed linens"", ""Board games"", ""Kitchen"", ""Outdoor dining area"", ""Drying rack for clothing"", ""Stove"", ""Fire extinguisher"", ""Clothing storage"", ""Free street parking"", ""Microwave"", ""Dedicated workspace"", ""Cooking basics"", ""Hair dryer"", ""Building staff""]",2024-09-25,t,No reviews,No reviews,Unknown,f,1.0,0.3,116.0,124.0,1.0,4.0,1.0,1.0,171.0,28.0,365.0,28.0,365.0,30,90,365,0.0,4.85,4.88,4.86,4.92,4.93,4.93,4.81,115.0,0.0,1.8,0.1
9200,48639930,2024-09-25,Habitacion Compartida Cerca del Centro y Metrobus,207240505,Luis,2018-08-04,a few days or more,f,t,Mexico City,Cuauhtémoc,19.4612,-99.14839,Shared room in home,Shared room,"[""Iron"", ""Outdoor furniture"", ""Wifi"", ""Freezer"", ""Laundromat nearby"", ""Refrigerator"", ""Dishes and silverware"", ""Ethernet connection"", ""Self check-in"", ""Hangers"", ""Body soap"", ""Free washer \u2013 In building"", ""Backyard"", ""Long term stays allowed"", ""First aid kit"", ""Essentials"", ""Shampoo"", ""Hot water"", ""Smoking allowed"", ""Clothing storage: closet"", ""Luggage dropoff allowed"", ""TV"", ""Pocket wifi"", ""Patio or balcony"", ""Bed linens"", ""Kitchen"", ""Outdoor dining area"", ""Drying rack for clothing"", ""Stove"", ""Fire extinguisher"", ""Free street parking"", ""Microwave"", ""Dedicated workspace"", ""Cooking basics"", ""Hair dryer"", ""Building staff""]",2024-09-25,t,No reviews,No reviews,Unknown,f,1.0,0.3,116.0,124.0,1.0,1.4,1.0,1.0,168.0,28.0,365.0,28.0,365.0,30,90,365,0.0,4.85,4.88,4.86,4.92,4.93,4.93,4.81,115.0,0.0,1.8,0.1
9240,48715981,2024-09-25,Sofa-bed livingroom great location(Reforma-Ángel),44172701,Mario,2015-09-14,within a few hours,f,t,"Juárez, Ciudad de México, Mexico",Cuauhtémoc,19.42304,-99.16966,Shared room in rental unit,Shared room,"[""Iron"", ""Washer"", ""Elevator"", ""Wifi"", ""Private patio or balcony"", ""Freezer"", ""Laundromat nearby"", ""Cleaning available during stay"", ""Host greets you"", ""Bikes"", ""Refrigerator"", ""Dishes and silverware"", ""Blender"", ""Portable fans"", ""HDTV with Amazon Prime Video, Netflix"", ""Body soap"", ""Long term stays allowed"", ""First aid kit"", ""Toaster"", ""Essentials"", ""Shampoo"", ""Hot water"", ""Dining table"", ""Dryer"", ""Paid street parking off premises"", ""Luggage dropoff allowed"", ""Bed linens"", ""Kitchen"", ""Oven"", ""Stove"", ""Extra pillows and blankets"", ""Cleaning products"", ""Room-darkening shades"", ""Wine glasses"", ""Microwave"", ""Dedicated workspace"", ""Cooking basics"", ""Single level home""]",2024-09-25,t,2021-05-13,2024-09-16,Unknown,f,1.0,0.7,1.0,3.0,1.0,1.0,1.0,1.0,280.0,2.0,32.0,2.0,32.0,30,90,365,47.0,4.68,4.85,4.53,4.89,4.83,4.98,4.74,1.0,0.0,0.0,1.0
9339,48594766,2024-09-25,Welcome to my house freinds! Shared Room,207240505,Luis,2018-08-04,a few days or more,f,t,Mexico City,Cuauhtémoc,19.46251,-99.14379,Shared room in home,Shared room,"[""Iron"", ""Washer"", ""Wifi"", ""Freezer"", ""Laundromat nearby"", ""Refrigerator"", ""Dishes and silverware"", ""Ethernet connection"", ""Self check-in"", ""Building staff"", ""Hangers"", ""Long term stays allowed"", ""First aid kit"", ""Essentials"", ""Shampoo"", ""Hot water"", ""Smoking allowed"", ""Barbecue utensils"", ""Luggage dropoff allowed"", ""TV with standard cable"", ""Patio or balcony"", ""Kitchen"", ""Oven"", ""BBQ grill"", ""Stove"", ""Window guards"", ""Fire extinguisher"", ""Room-darkening shades"", ""Free street parking"", ""Exterior security cameras on property"", ""Dedicated workspace"", ""Cooking basics"", ""Hair dryer"", ""Microwave""]",2024-09-25,t,No reviews,No reviews,Unknown,f,1.0,0.3,116.0,124.0,1.0,2.0,1.0,1.0,212.0,14.0,365.0,14.0,365.0,30,90,180,0.0,4.85,4.88,4.86,4.92,4.93,4.93,4.81,115.0,0.0,1.8,0.1
9340,48595057,2024-09-25,Habitaciones compartidas fácil acceso a metrobus,207240505,Luis,2018-08-04,a few days or more,f,t,Mexico City,Cuauhtémoc,19.45981,-99.14713,Shared room in home,Shared room,"[""Iron"", ""Outdoor furniture"", ""Wifi"", ""Freezer"", ""Refrigerator"", ""Dishes and silverware"", ""Ethernet connection"", ""Self check-in"", ""Hangers"", ""Body soap"", ""Free washer \u2013 In building"", ""Coffee maker"", ""Backyard"", ""Long term stays allowed"", ""First aid kit"", ""Essentials"", ""Shampoo"", ""Hot water"", ""Smoking allowed"", ""Clothing storage: closet"", ""Luggage dropoff allowed"", ""TV"", ""Pocket wifi"", ""Patio or balcony"", ""Bed linens"", ""Board games"", ""Kitchen"", ""Outdoor dining area"", ""Drying rack for clothing"", ""Stove"", ""Fire extinguisher"", ""Free street parking"", ""Microwave"", ""Dedicated workspace"", ""Cooking basics"", ""Hair dryer"", ""Building staff""]",2024-09-25,t,2021-11-28,2022-05-01,Unknown,f,1.0,0.3,116.0,124.0,1.0,1.4,1.0,1.0,168.0,28.0,365.0,28.0,365.0,30,90,180,4.0,4.5,4.25,4.8,4.75,4.75,5.0,4.0,115.0,0.0,1.8,0.1
9341,48595475,2024-09-25,Bienvenidos! Habitación Compartida,207240505,Luis,2018-08-04,a few days or more,f,t,Mexico City,Cuauhtémoc,19.46083,-99.14714,Shared room in home,Shared room,"[""Iron"", ""Wifi"", ""Refrigerator"", ""Dishes and silverware"", ""Ethernet connection"", ""Self check-in"", ""Hangers"", ""Body soap"", ""Free washer \u2013 In building"", ""Coffee maker"", ""Backyard"", ""Long term stays allowed"", ""First aid kit"", ""Essentials"", ""Shampoo"", ""Hot water"", ""Smoking allowed"", ""Dining table"", ""Luggage dropoff allowed"", ""TV"", ""Pocket wifi"", ""Patio or balcony"", ""Bed linens"", ""Board games"", ""Kitchen"", ""Outdoor dining area"", ""Drying rack for clothing"", ""Stove"", ""Fire extinguisher"", ""Clothing storage"", ""Free street parking"", ""Microwave"", ""Dedicated workspace"", ""Cooking basics"", ""Hair dryer"", ""Building staff""]",2024-09-25,t,No reviews,No reviews,Unknown,f,1.0,0.3,116.0,124.0,1.0,3.0,1.0,1.0,168.0,28.0,365.0,28.0,365.0,30,90,180,0.0,4.85,4.88,4.86,4.92,4.93,4.93,4.81,115.0,0.0,1.8,0.1
9350,48595542,2024-09-25,Bienvenidos! Habitacion Compartida,207240505,Luis,2018-08-04,a few days or more,f,t,Mexico City,Cuauhtémoc,19.45951,-99.14682,Shared room in home,Shared room,"[""Iron"", ""Outdoor furniture"", ""Wifi"", ""Freezer"", ""Refrigerator"", ""Dishes and silverware"", ""Ethernet connection"", ""Self check-in"", ""Hangers"", ""Body soap"", ""Free washer \u2013 In building"", ""Coffee maker"", ""Backyard"", ""Long term stays allowed"", ""First aid kit"", ""Essentials"", ""Shampoo"", ""Hot water"", ""Smoking allowed"", ""Dining table"", ""Luggage dropoff allowed"", ""TV"", ""Pocket wifi"", ""Patio or balcony"", ""Bed linens"", ""Board games"", ""Kitchen"", ""Outdoor dining area"", ""Drying rack for clothing"", ""Stove"", ""Fire extinguisher"", ""Clothing storage"", ""Free street parking"", ""Microwave"", ""Dedicated workspace"", ""Cooking basics"", ""Hair dryer"", ""Building staff""]",2024-09-25,t,2021-05-10,2021-08-14,Unknown,f,1.0,0.3,116.0,124.0,1.0,1.4,1.0,1.0,168.0,28.0,365.0,28.0,365.0,30,90,365,2.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,115.0,0.0,1.8,0.1
9360,48888151,2024-09-25,"Habitación - Departamento, en condominio privado",265243006,Ernesto,2019-05-30,Unknown,f,t,Mexico City,Álvaro Obregón,19.39967,-99.19584,Shared room in condo,Shared room,"[""Body soap"", ""Washer"", ""TV"", ""Wifi"", ""Smoking allowed"", ""Bed linens"", ""Kitchen"", ""Shampoo"", ""Hot water"", ""Cooking basics""]",2024-09-25,t,No reviews,No reviews,Unknown,t,0.9361689895470384,0.8949061696116056,1.0,1.0,3.0,1.0,1.0,0.0,6763.0,1.0,365.0,1.0,1125.0,30,90,365,0.0,4.85,4.88,4.86,4.92,4.93,4.93,4.81,1.0,0.0,0.0,1.0
9381,48946081,2024-09-25,Habitación Compartida (Shared Room),207240505,Luis,2018-08-04,a few days or more,f,t,Mexico City,Cuauhtémoc,19.46138,-99.14711,Shared room in home,Shared room,"[""Iron"", ""Washer"", ""Wifi"", ""Refrigerator"", ""Ethernet connection"", ""Self check-in"", ""Hangers"", ""Body soap"", ""Coffee maker"", ""Backyard"", ""Long term stays allowed"", ""First aid kit"", ""Essentials"", ""Shampoo"", ""Hot water"", ""Smoking allowed"", ""Dining table"", ""Luggage dropoff allowed"", ""TV"", ""Pocket wifi"", ""Patio or balcony"", ""Bed linens"", ""Board games"", ""Kitchen"", ""Outdoor dining area"", ""Drying rack for clothing"", ""Stove"", ""Fire extinguisher"", ""Clothing storage"", ""Free street parking"", ""Microwave"", ""Dedicated workspace"", ""Cooking basics"", ""Hair dryer"", ""Building staff""]",2024-09-25,t,No reviews,No reviews,Unknown,f,1.0,0.3,116.0,124.0,1.0,3.0,1.0,1.0,199.0,28.0,365.0,28.0,365.0,30,90,365,0.0,4.85,4.88,4.86,4.92,4.93,4.93,4.81,115.0,0.0,1.8,0.1
9393,48976336,2024-09-25,Shared rooms near downtown!,207240505,Luis,2018-08-04,a few days or more,f,t,Mexico City,Cuauhtémoc,19.46161,-99.14854,Shared room in home,Shared room,"[""Iron"", ""Washer"", ""Outdoor furniture"", ""Wifi"", ""Freezer"", ""Laundromat nearby"", ""Refrigerator"", ""Dishes and silverware"", ""Ethernet connection"", ""Self check-in"", ""Hangers"", ""Body soap"", ""Backyard"", ""Long term stays allowed"", ""First aid kit"", ""Essentials"", ""Shampoo"", ""Hot water"", ""Smoking allowed"", ""Luggage dropoff allowed"", ""TV"", ""Pocket wifi"", ""Patio or balcony"", ""Bed linens"", ""Kitchen"", ""Outdoor dining area"", ""Drying rack for clothing"", ""Stove"", ""Fire extinguisher"", ""Clothing storage"", ""Free street parking"", ""Microwave"", ""Dedicated workspace"", ""Cooking basics"", ""Hair dryer"", ""Building staff""]",2024-09-25,t,No reviews,No reviews,Unknown,f,1.0,0.3,116.0,124.0,1.0,3.0,1.0,1.0,199.0,28.0,365.0,28.0,365.0,30,90,365,0.0,4.85,4.88,4.86,4.92,4.93,4.93,4.81,115.0,0.0,1.8,0.1
9395,48979220,2024-09-25,Shared rooms near downtown!,207240505,Luis,2018-08-04,a few days or more,f,t,Mexico City,Cuauhtémoc,19.4597,-99.1465,Shared room in home,Shared room,"[""Iron"", ""Washer"", ""Outdoor furniture"", ""Wifi"", ""Freezer"", ""Laundromat nearby"", ""Refrigerator"", ""Dishes and silverware"", ""Ethernet connection"", ""Self check-in"", ""Hangers"", ""Body soap"", ""Backyard"", ""Long term stays allowed"", ""First aid kit"", ""Essentials"", ""Shampoo"", ""Hot water"", ""Smoking allowed"", ""Luggage dropoff allowed"", ""TV"", ""Pocket wifi"", ""Patio or balcony"", ""Bed linens"", ""Kitchen"", ""Outdoor dining area"", ""Drying rack for clothing"", ""Stove"", ""Fire extinguisher"", ""Clothing storage"", ""Free street parking"", ""Microwave"", ""Dedicated workspace"", ""Cooking basics"", ""Hair dryer"", ""Building staff""]",2024-09-25,t,No reviews,No reviews,Unknown,f,1.0,0.3,116.0,124.0,1.0,3.0,1.0,1.0,199.0,28.0,365.0,28.0,365.0,30,90,365,0.0,4.85,4.88,4.86,4.92,4.93,4.93,4.81,115.0,0.0,1.8,0.1
9408,48984372,2024-09-25,Habitación Compartida en CDMX cerca Metrobus,207240505,Luis,2018-08-04,a few days or more,f,t,Mexico City,Cuauhtémoc,19.46091,-99.1478,Shared room in home,Shared room,"[""Iron"", ""Washer"", ""Outdoor furniture"", ""Wifi"", ""Freezer"", ""Laundromat nearby"", ""Refrigerator"", ""Dishes and silverware"", ""Ethernet connection"", ""Self check-in"", ""Hangers"", ""Body soap"", ""Coffee maker"", ""Backyard"", ""Long term stays allowed"", ""First aid kit"", ""Essentials"", ""Shampoo"", ""Hot water"", ""Smoking allowed"", ""Dining table"", ""Luggage dropoff allowed"", ""TV"", ""Pocket wifi"", ""Patio or balcony"", ""Bed linens"", ""Board games"", ""Kitchen"", ""Outdoor dining area"", ""Drying rack for clothing"", ""Stove"", ""Fire extinguisher"", ""Clothing storage"", ""Free street parking"", ""Microwave"", ""Dedicated workspace"", ""Cooking basics"", ""Hair dryer"", ""Building staff""]",2024-09-25,t,2021-06-30,2021-06-30,Unknown,f,1.0,0.3,116.0,124.0,1.0,1.4,1.0,1.0,168.0,28.0,365.0,28.0,365.0,30,90,365,1.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,115.0,0.0,1.8,0.1
9411,48994995,2024-09-25,"Recámara en departamento compartido, NARVARTE",163719800,Jessica,2017-12-22,Unknown,f,t,Mexico City,Benito Juárez,19.38206,-99.1595,Shared room in serviced apartment,Shared room,"[""Dryer"", ""Iron"", ""Washer"", ""TV"", ""Wifi"", ""Elevator"", ""Heating"", ""Hot tub"", ""Breakfast"", ""Kitchen"", ""Essentials"", ""Shampoo"", ""Hot water"", ""Dedicated workspace"", ""Hair dryer""]",2024-09-25,t,No reviews,No reviews,Unknown,t,0.9361689895470384,0.8949061696116056,1.0,3.0,1.0,1.0,1.0,1.0,6000.0,2.0,365.0,2.0,365.0,30,90,180,0.0,4.85,4.88,4.86,4.92,4.93,4.93,4.81,1.0,0.0,0.0,1.0
